population,streams,null_trials,statistic,null_median,null_mean,width_raw_sd,width_robust_core,width_left_scale,width_pred_1_over_sqrt_beta_M,beta_implied_core,probe_snr_db,h1_trials,excess_per_snr,deflection_per_snr_core
independent,512,4000,fine,1.0564923,1.0588153,0.042202055,0.041602694,0.039784941,0.054126588,1.1284625,0,500,128.0762,3078.5554
independent,1024,4000,coarse,0.99993452,0.9999991,0.003439292,0.0035144216,0.0033630858,0.0033829117,79.066463,-10,500,1.0029079,285.36926
independent,1024,4000,coarse,0.99993452,0.9999991,0.003439292,0.0035144216,0.0033630858,0.0033829117,79.066463,0,500,1.0005267,284.6917
independent,1024,4000,fine,1.0389125,1.0406201,0.029169692,0.029263326,0.027001144,0.038273277,1.1403881,-10,500,127.95399,4372.5032
independent,1024,4000,fine,1.0389125,1.0406201,0.029169692,0.029263326,0.027001144,0.038273277,1.1403881,0,500,128.21297,4381.3533
independent,2048,12000,coarse,0.99997067,0.9999856,0.0023891012,0.0023903034,0.0023854586,0.0023920798,85.460219,-10,500,1.001007,418.77822
independent,2048,12000,coarse,0.99997067,0.9999856,0.0023891012,0.0023903034,0.0023854586,0.0023920798,85.460219,0,500,1.0001747,418.43002
independent,2048,12000,fine,1.0281128,1.028755,0.020327757,0.020155898,0.019488017,0.027063294,1.2018928,-10,500,127.88132,6344.6105
independent,2048,12000,fine,1.0281128,1.028755,0.020327757,0.020155898,0.019488017,0.027063294,1.2018928,0,500,128.09135,6355.0306
replicated,1,1000,coarse,1.0030063,1.0053426,0.11216813,0.11367056,0.11215685,0.10825318,77.393411,0,500,1.0047905,8.8394965
replicated,1,1000,fine,3.1171097,5.5106691,7.7153629,3.5072935,1.8763548,1.2247449,0.081293491,0,500,314.98876,89.809637
replicated,2,1000,coarse,1.0030063,1.0053426,0.11216813,0.11367056,0.11215685,0.076546554,38.696705,0,500,1.0047905,8.8394965
replicated,2,1000,fine,3.1171097,5.5106691,7.7153629,3.5072935,1.8763548,0.8660254,0.040646746,0,500,314.98876,89.809637
replicated,4,1000,coarse,1.0030063,1.0053426,0.11216813,0.11367056,0.11215685,0.054126588,19.348353,0,500,1.0047905,8.8394965
replicated,4,1000,fine,3.1171097,5.5106691,7.7153629,3.5072935,1.8763548,0.61237244,0.020323373,0,500,314.98876,89.809637
replicated,8,1000,coarse,1.0030063,1.0053426,0.11216813,0.11367056,0.11215685,0.038273277,9.6741764,0,500,1.0047905,8.8394965
replicated,8,1000,fine,3.1171097,5.5106691,7.7153629,3.5072935,1.8763548,0.4330127,0.010161686,0,500,314.98876,89.809637
replicated,16,1000,coarse,1.0030063,1.0053426,0.11216813,0.11367056,0.11215685,0.027063294,4.8370882,0,500,1.0047905,8.8394965
replicated,16,1000,fine,3.1171097,5.5106691,7.7153629,3.5072935,1.8763548,0.30618622,0.0050808432,0,500,314.98876,89.809637
