schema_version,rf_channel,callsign,service_class,detectability_db,distance_km,bearing_deg,frequency_tolerance,chime_ch_index,nominal_pilot_mhz,city,state_prov,erp_kw,evidence_status
dtv_transmitter_census_v1,18,K26OW-D,Translator (LPTV),,645.3,153.0,None specified,783,494.309441,GARDEN VALLEY,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,25,K25QX-D,Translator (LPTV),,645.3,153.0,None specified,675,536.309441,GARDEN VALLEY,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,32,K32KO-D,Translator (LPTV),,645.3,153.0,None specified,568,578.309441,GARDEN VALLEY,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,34,K34MG-D,Translator (LPTV),,645.3,153.0,None specified,537,590.309441,GARDEN VALLEY,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,36,K36LZ-D,Translator (LPTV),,645.3,153.0,None specified,506,602.309441,GARDEN VALLEY,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,14,CH2927,Relay,,661.1,331.2,±1 kHz,844,470.309441,Fort St James,BC,0.084,reported_on_air_licensed
dtv_transmitter_census_v1,18,CH6459,Relay,,651.0,332.8,±1 kHz,783,494.309441,Fort St James,BC,0.039,reported_on_air_licensed
dtv_transmitter_census_v1,24,CH6496-DT,Relay,,651.0,332.8,±1 kHz,690,530.309441,Fort St. James,BC,0.039,reported_on_air_licensed
dtv_transmitter_census_v1,26,CH6461,Relay,,651.0,332.8,±1 kHz,660,542.309441,Fort St James,BC,0.039,reported_on_air_licensed
dtv_transmitter_census_v1,28,CH6497-DT,Relay,,651.0,332.8,±1 kHz,629,554.309441,Fort St. James,BC,0.039,reported_on_air_licensed
dtv_transmitter_census_v1,31,CH6498-DT,Relay,,651.0,332.8,±1 kHz,583,572.309441,Fort St. James,BC,0.039,reported_on_air_licensed
dtv_transmitter_census_v1,33,CH6499,Relay,,651.0,332.8,±1 kHz,552,584.309441,Fort St James,BC,0.039,reported_on_air_licensed
