schema_version,rf_channel,callsign,service_class,detectability_db,distance_km,bearing_deg,frequency_tolerance,chime_ch_index,nominal_pilot_mhz,city,state_prov,erp_kw,evidence_status
dtv_transmitter_census_v1,32,K32LY-D,Translator (LPTV),,458.7,164.8,None specified,568,578.309441,LA GRANDE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,33,K33FS-D,Translator (LPTV),,458.7,164.8,None specified,552,584.309441,LA GRANDE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,34,K34NG-D,Translator (LPTV),,458.7,164.8,None specified,537,590.309441,LA GRANDE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,35,K35GA-D,Translator (LPTV),,458.7,164.8,None specified,521,596.309441,LA GRANDE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,16,K16LS-D,Translator (LPTV),,460.3,143.9,None specified,813,482.309441,"GRANGEVILLE, ETC.",ID,,reported_on_air_unverified
dtv_transmitter_census_v1,19,K19BY-D,Translator (LPTV),,460.3,143.9,None specified,767,500.309441,"GRANGEVILLE, ETC,",ID,,reported_on_air_unverified
dtv_transmitter_census_v1,35,K35MJ-D,Translator (LPTV),,460.3,143.9,None specified,521,596.309441,GRANGEVILLE,ID,,reported_on_air_unverified
dtv_transmitter_census_v1,28,K28JC-D,Translator (LPTV),,468.3,156.9,None specified,629,554.309441,ENTERPRISE,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,31,KEVE-LD,Low-power (LPTV),,468.3,210.3,None specified,583,572.309441,VANCOUVER,WA,,reported_on_air_unverified
dtv_transmitter_census_v1,17,K17HA-D,Translator (LPTV),,469.9,223.7,None specified,798,488.309441,ASTORIA,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,23,K23GK-D,Translator (LPTV),,469.9,223.7,None specified,706,524.309441,ASTORIA,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,26,K26DB-D,Translator (LPTV),,469.9,223.7,None specified,660,542.309441,ASTORIA,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,34,K34DC-D,Translator (LPTV),,469.9,223.7,None specified,537,590.309441,ASTORIA,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,36,K36LI-D,Translator (LPTV),,469.9,223.7,None specified,506,602.309441,ASTORIA,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,15,KPME-CD,Class A,,481.2,209.7,±1 kHz,829,476.309441,PORTLAND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,20,KOXI-CD,Class A,,481.2,209.7,±1 kHz,752,506.309441,PORTLAND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,24,KATU,Full-power,,481.2,209.7,±1 kHz,690,530.309441,PORTLAND,OR,,reported_on_air_unverified
dtv_transmitter_census_v1,25,KOIN,Full-power,,481.2,209.7,±1 kHz,675,536.309441,PORTLAND,OR,,reported_on_air_unverified
