relative_path,role,size_bytes,sha256
high/snr_p33/dtv_snr_eval.csv,trial_csv,69527,0f9d47ef20e16a75aa017745497591b7b9eeaae245baf6f1b80563af9b431f63
high/snr_p33/dtv_snr_eval.json,metadata_json,243320,f85a4162b70b602a93fd8987dc3b0f7e2c0aad2cd906acab36a93d08788bc691
high/snr_p33/dtv_snr_summary.csv,summary_csv,2465,32aa8814bf557a462c43cf311d79d3f9cb9dd07a1d536e6fbbf5b7c87d318109
high/snr_p36/dtv_snr_eval.csv,trial_csv,69789,f1dee99d72b87b3d9a14f81f6939afe40454ef5e0647f16870be96c0d0862d55
high/snr_p36/dtv_snr_eval.json,metadata_json,243579,0a06ae3ca54f4f0b7c0a7a47bc1f61c77f5c37b106a75165a37e9473c7feb2a3
high/snr_p36/dtv_snr_summary.csv,summary_csv,2463,d05a6a5d14e3838d4567c692155f4a8c915b5199494d7c6af1288fc0678ecfa1
high/snr_p39/dtv_snr_eval.csv,trial_csv,69537,8ce42dcc185f61feb48522063571b60a7d7971a4c7f50e6f48b81ecb66b2ddcd
high/snr_p39/dtv_snr_eval.json,metadata_json,243332,aaf23e98e7fe7333338ae05ca8f769ccd2365d2a83cef5439a33f14189754516
high/snr_p39/dtv_snr_summary.csv,summary_csv,2468,c8792e861952af72b60500976098c7ec753a3ad402ea7eec549053202a6be735
high/snr_p42/dtv_snr_eval.csv,trial_csv,69586,66ba0e2673bc6a4695afa01bdfb22d0c06cfacfb88dda0ec95dcbd6b00697fbd
high/snr_p42/dtv_snr_eval.json,metadata_json,243381,ee004e4a361fba4508705f5cec9e669bc0c5f7dbb330e39228e37a288a984743
high/snr_p42/dtv_snr_summary.csv,summary_csv,2467,8644c0176fbbad503a8b9578f3f8a30864bfd104b8df2ed83346690a0d3d3c0f
high/snr_p45/dtv_snr_eval.csv,trial_csv,69731,f367255a188b08a2281fc39d9c86ae042d0f6480275c5f0a9493f317a844c5b1
high/snr_p45/dtv_snr_eval.json,metadata_json,243524,88cb544349b5bab4c53b161006246c80d2e9f979482770ac4f631d86acd9fcd7
high/snr_p45/dtv_snr_summary.csv,summary_csv,2466,1bd5f9871a5a1acbaa6afdc9f909ba028fcca2cf3000ccc07dd08743693e2188
high/snr_p48/dtv_snr_eval.csv,trial_csv,69634,02a5f5812f342ba29a9b8ab35995d80cb2be6ee4b897f323c4f0133b707246b7
high/snr_p48/dtv_snr_eval.json,metadata_json,243426,92cf2dee280208ebc1f3417cfd3f6c86435e2cf8eb49d3f7c92c68e3672507b4
high/snr_p48/dtv_snr_summary.csv,summary_csv,2465,07ec137f372605fa105885f2d10fd51fc0890165e83d575de1e11d8021b919be
high/snr_p51/dtv_snr_eval.csv,trial_csv,69681,91cda2f189ef1027687e79551b61e4390cd5a90b1e97931b3d97866e0bd5f3b2
high/snr_p51/dtv_snr_eval.json,metadata_json,243478,b3ac46d181b6724d0767aff5301063f5a9129e98109e4e2d6cf4e1ba9d3edb15
high/snr_p51/dtv_snr_summary.csv,summary_csv,2470,8af2792adf0692c64511eceee8bf8043cb88ac57852932a86ec91bb80df34daf
high/snr_p54/dtv_snr_eval.csv,trial_csv,69675,6e981338e48fec39269871d442ee7eaf4ceeb57f05eb4763066e1436316273e6
high/snr_p54/dtv_snr_eval.json,metadata_json,243475,8c4b8e4206fb1a1e11cecf84c8599ba7a24d79c1aa527e02909fe1e63b4bcdd7
high/snr_p54/dtv_snr_summary.csv,summary_csv,2473,c68629584cbb673e4490bb2cea7c481dd4430bc70007cb0fbc5163b8936b6276
high/snr_p57/dtv_snr_eval.csv,trial_csv,69819,43a8fb6c541a6b2f1b025bcab6e9afad61514acac7e31ba553c80b9749687e8f
high/snr_p57/dtv_snr_eval.json,metadata_json,243616,447289e10c8836d721a326a1286a1390f57b133d1a286d37fbe6a21192736718
high/snr_p57/dtv_snr_summary.csv,summary_csv,2470,050e968f89bd4811b6ca62fe85804f5713e11e563eb73ff6771559e8adb6e523
high/snr_p6/dtv_snr_eval.csv,trial_csv,67790,75914516790f023664b46df9c6b090d7ddfc819cd6d494a4c638f5285ce6da6f
high/snr_p6/dtv_snr_eval.json,metadata_json,241498,76f524a398a44c767bdda5e1c06d0b7b7c9d53104adf291cdf9cb349586005a8
high/snr_p6/dtv_snr_summary.csv,summary_csv,2451,8cdd33af8c3c915ade5e68f155ed04eaab80a9cd23ea3e8a5b2413df70f0a38b
high/snr_p60/dtv_snr_eval.csv,trial_csv,69836,6ff76b55b1ee6a39d2719eec771c454c9903bc959cc4f59bec34548ddd9c2041
high/snr_p60/dtv_snr_eval.json,metadata_json,243631,aaa4dd3f100fe6c5b15a93b3f66960aedf390466dab216953b1a73b0776d4aa6
high/snr_p60/dtv_snr_summary.csv,summary_csv,2468,cca6adda0e75cf31cc3f8aef17c1a9cc9ded7600eadf9f1f148f4104146fb9e8
